number of characters,length of case,case,expected value
11,3,[4. 7. 6.],1331.0
11,3,[4. 7. 7.],1331.0
11,3,[4. 7. 8.],1331.0
11,3,[4. 7. 9.],1331.0
11,3,[ 4.  7. 10.],1331.0
11,3,[4. 8. 0.],1331.0
11,3,[4. 8. 1.],1331.0
11,3,[4. 8. 2.],1331.0
11,3,[4. 8. 3.],1331.0
11,3,[4. 8. 4.],1342.0
11,3,[4. 8. 5.],1331.0
11,3,[4. 8. 6.],1331.0
11,3,[4. 8. 7.],1331.0
11,3,[4. 8. 8.],1331.0
11,3,[4. 8. 9.],1331.0
11,3,[ 4.  8. 10.],1331.0
11,3,[4. 9. 0.],1331.0
11,3,[4. 9. 1.],1331.0
11,3,[4. 9. 2.],1331.0
11,3,[4. 9. 3.],1331.0
11,3,[4. 9. 4.],1342.0
11,3,[4. 9. 5.],1331.0
11,3,[4. 9. 6.],1331.0
11,3,[4. 9. 7.],1331.0
11,3,[4. 9. 8.],1331.0
11,3,[4. 9. 9.],1331.0
11,3,[ 4.  9. 10.],1331.0
11,3,[ 4. 10.  0.],1331.0
11,3,[ 4. 10.  1.],1331.0
11,3,[ 4. 10.  2.],1331.0
11,3,[ 4. 10.  3.],1331.0
11,3,[ 4. 10.  4.],1342.0
11,3,[ 4. 10.  5.],1331.0
11,3,[ 4. 10.  6.],1331.0
11,3,[ 4. 10.  7.],1331.0
11,3,[ 4. 10.  8.],1331.0
11,3,[ 4. 10.  9.],1331.0
11,3,[ 4. 10. 10.],1331.0
11,3,[5. 0. 0.],1331.0
11,3,[5. 0. 1.],1331.0
11,3,[5. 0. 2.],1331.0
11,3,[5. 0. 3.],1331.0
11,3,[5. 0. 4.],1331.0
11,3,[5. 0. 5.],1342.0
11,3,[5. 0. 6.],1331.0
11,3,[5. 0. 7.],1331.0
11,3,[5. 0. 8.],1331.0
11,3,[5. 0. 9.],1331.0
11,3,[ 5.  0. 10.],1331.0
11,3,[5. 1. 0.],1331.0
11,3,[5. 1. 1.],1331.0
11,3,[5. 1. 2.],1331.0
11,3,[5. 1. 3.],1331.0
11,3,[5. 1. 4.],1331.0
11,3,[5. 1. 5.],1342.0
